ISO,NAME,Hazard,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
MLT,Malta,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MHL,Marshall Islands,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MRT,Mauritania,FL,1.071428571,0,0,0,0,0,1.071428571,7.5,5.357142857,1.071428571,0,0
MUS,Mauritius,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MEX,Mexico,FL,0.48,0.96,0.48,0.48,1.44,1.92,1.92,1.92,7.2,2.4,1.44,0
FSM,Micronesia,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MDA,Moldova Republic of,FL,0,0,0,0,0,2.8,5.6,2.8,0,0,0,0
MNG,Mongolia,FL,0,0,0,0,0,0,4.3,1.433333333,0,0,0,0
MNE,Montenegro,FL,2.2,0,0,0,0,0,0,0,0,0,4.4,4.4
MAR,Morocco,FL,0,2.32,1.16,0,1.16,0,0,0,0,4.64,5.8,4.64
MOZ,Mozambique,FL,6.3,3.54375,2.75625,0.39375,0.39375,0,0.39375,0,0,0.7875,0,1.96875
MMR,Myanmar,FL,0,0,0,0,1.1,5.5,7.7,9.9,2.2,3.3,0,0
NAM,Namibia,FL,5.228571429,2.614285714,6.1,0.871428571,1.742857143,0.871428571,0,0,0,0,0,0
NRU,Nauru,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NPL,Nepal,FL,0,0,0,0,0.788235294,1.970588235,6.7,2.758823529,1.182352941,0.788235294,0,0
NLD,Netherlands,FL,0,0,0,0,0,0,0,0,0,0,0,0
NZL,New Zealand,FL,1.9,1.9,1.9,3.8,3.8,3.8,1.9,1.9,0,0,0,0
NIC,Nicaragua,FL,0,0,0,0,2.914285714,2.914285714,1.457142857,0.728571429,2.185714286,5.1,0,0
NER,Niger,FL,0,0,0,0,0,4.625,6.475,7.4,4.625,5.55,1.85,0.925
NGA,Nigeria,FL,0,0.615384615,0,1.230769231,0.615384615,3.692307692,4.307692308,8,8,4.923076923,0,0
NOR,Norway,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
OMN,Oman,FL,0,0,0,3.7,0,0,0,0,0,0,0,3.7
PAK,Pakistan,FL,0.366666667,1.833333333,1.833333333,1.1,0.733333333,2.933333333,6.233333333,8.8,3.3,0.733333333,0.366666667,0.366666667
PLW,Palau,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PSE,Palestine,FL,1.8,0.9,0.9,0,0,0,0,0,0,0.9,0,0
PAN,Panama,FL,0.75,0,0,0,1.125,0.375,0.75,0.375,1.875,1.5,3,0.75
PNG,Papua New Guinea,FL,2.5,2.5,5,2.5,0,2.5,2.5,2.5,2.5,0,0,5
PRY,Paraguay,FL,2.4,1.2,4.8,2.4,1.2,1.2,3.6,1.2,1.2,1.2,1.2,1.2
PER,Peru,FL,4.923076923,6.4,4.430769231,0.984615385,1.476923077,0,0,0,0,0.984615385,0.492307692,1.969230769
PHL,Philippines,FL,7.2,3.410526316,2.273684211,0,2.652631579,4.168421053,3.789473684,6.442105263,3.031578947,2.273684211,2.652631579,2.652631579
POL,Poland,FL,0,0,2.033333333,0,4.066666667,4.066666667,4.066666667,6.1,0,0,0,0
PRT,Portugal,FL,3.7,3.7,0,0,0,0,0,0,0,1.85,3.7,1.85
QAT,Qatar,FL,0,0,0,0,0,0,0,0,0,0,0,0
ROU,Romania,FL,2.333333333,0.777777778,4.666666667,3.888888889,2.333333333,7,7,6.222222222,2.333333333,0.777777778,0,0
RUS,Russian Federation,FL,0.84,0.84,4.2,8.4,8.4,5.88,5.88,8.4,1.68,2.52,0,0
RWA,Rwanda,FL,0.628571429,0.628571429,0.628571429,4.4,1.257142857,0,0,0,1.257142857,1.885714286,0.628571429,0
KNA,Saint Kitts and Nevis,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LCA,Saint Lucia,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
VCT,Saint Vincent and the Grenadines,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
WSM,Samoa,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
STP,Sao Tome and Principe,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SAU,Saudi Arabia,FL,1.85,0,0.616666667,3.7,0.616666667,0,1.233333333,0.616666667,0,0,3.083333333,0
SEN,Senegal,FL,0.6,0,0,0,0,0,1.2,4.8,3,0.6,0,0
SRB,Serbia,FL,0,2.966666667,8.9,2.966666667,5.933333333,2.966666667,0,2.966666667,2.966666667,0,8.9,2.966666667
SYC,Seychelles,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SLE,Sierra Leone,FL,0,0,0,0,0,0,0.92,4.6,0.92,0,0,0
SGP,Singapore,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SVK,Slovakia,FL,0,0,4.466666667,0,4.466666667,6.7,4.466666667,4.466666667,0,0,0,0
SVN,Slovenia,FL,0,0,0,0,0,0,0,4,4,0,4,0
SLB,Solomon Islands,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SOM,Somalia,FL,0,0,1.666666667,4.166666667,4.166666667,1.666666667,0.833333333,3.333333333,2.5,5.833333333,7.5,1.666666667
ZAF,South Africa,FL,1.666666667,1.666666667,5,0,0.833333333,0.833333333,3.333333333,4.166666667,0,0.833333333,1.666666667,1.666666667
SSD,South Sudan,FL,0,0,0,0,0,0,2.84,7.1,2.84,5.68,1.42,0
ESP,Spain,FL,0,0,2.7,2.7,1.35,2.7,0,0,2.7,5.4,4.05,2.7
LKA,Sri Lanka,FL,3.05,1.83,0.61,0,4.88,1.83,0,0.61,1.22,1.83,4.88,6.1
SDN,Sudan,FL,0,0,0,0,0,1.846153846,4.307692308,8,4.307692308,1.230769231,0,0
SUR,Suriname,FL,0,0,0,0,8.6,8.6,0,0,0,0,0,0
SWZ,Swaziland,FL,4.2,4.2,0,0,0,0,0,0,0,0,0,4.2
SWE,Sweden,FL,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Switzerland,FL,0,0,0,0,0,0,2.15,4.3,0,0,0,0
SYR,Syria,FL,0,0,5.2,5.2,0,0,0,0,0,5.2,0,0
TJK,Tajikistan,FL,0,0.771428571,0.771428571,3.085714286,5.4,4.628571429,3.085714286,1.542857143,0,0,0,0
TZA,Tanzania,FL,3.314285714,1.657142857,2.485714286,5.8,4.971428571,0,0,0,0,0.828571429,0.828571429,4.971428571
THA,Thailand,FL,2.933333333,0.733333333,1.466666667,1.466666667,2.933333333,2.2,2.2,6.6,6.6,6.6,6.6,8.8
MKD,The former Yugoslav Republic of Macedonia,FL,0,0,0,0,0,0,0,0,0,0,0,0
TLS,Timor-Leste,FL,1.133333333,0,0,0,0,1.7,0.566666667,0,0,0,0,1.133333333
TGO,Togo,FL,0,0,0,0,0,2.866666667,2.866666667,4.3,4.3,2.866666667,0,0
TON,Tonga,FL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TTO,Trinidad and Tobago,FL,0,0,0,0,0,0,0,0,0,0.3,0,0
TUN,Tunisia,FL,1.266666667,0,0,1.266666667,0,0,0,0,3.8,2.533333333,0,0
