iso3,ym,value,coverage,n_cells,dataset_type
IOT,2016-02,0.8745,nearest_cell,0,consolidated_dataset
IRL,2016-02,2.0725,cells,153,consolidated_dataset
IRN,2016-02,-0.7895,cells,2489,consolidated_dataset
IRQ,2016-02,-0.0204,cells,670,consolidated_dataset
ISL,2016-02,-0.1941,cells,307,consolidated_dataset
ISR,2016-02,-0.5154,cells,34,consolidated_dataset
ITA,2016-02,-0.3075,cells,527,consolidated_dataset
JAM,2016-02,0.3419,cells,14,consolidated_dataset
JEY,2016-02,1.2202,nearest_cell,0,consolidated_dataset
JOR,2016-02,-1.0358,cells,130,consolidated_dataset
JPN,2016-02,0.9095,cells,605,consolidated_dataset
KAZ,2016-02,0.8912,cells,5228,consolidated_dataset
KEN,2016-02,0.3777,cells,759,consolidated_dataset
KGZ,2016-02,-0.8965,cells,343,consolidated_dataset
KHM,2016-02,-0.5032,cells,242,consolidated_dataset
KIR,2016-02,0.6782,nearest_cell,0,consolidated_dataset
KNA,2016-02,-0.7359,nearest_cell,0,consolidated_dataset
KOR,2016-02,0.5514,cells,155,consolidated_dataset
KWT,2016-02,-0.0687,cells,24,consolidated_dataset
LAO,2016-02,1.0835,cells,307,consolidated_dataset
LBN,2016-02,-0.8334,cells,15,consolidated_dataset
LBR,2016-02,-1.97,cells,121,consolidated_dataset
LBY,2016-02,-0.9086,cells,2357,consolidated_dataset
LCA,2016-02,-1.067,cells,2,consolidated_dataset
LIE,2016-02,0.2517,nearest_cell,0,consolidated_dataset
LKA,2016-02,-0.1717,cells,87,consolidated_dataset
LSO,2016-02,-1.0113,cells,45,consolidated_dataset
LTU,2016-02,0.5357,cells,150,consolidated_dataset
LUX,2016-02,0.256,cells,5,consolidated_dataset
LVA,2016-02,0.6299,cells,149,consolidated_dataset
MAC,2016-02,2.7369,nearest_cell,0,consolidated_dataset
MAF,2016-02,-0.7359,nearest_cell,0,consolidated_dataset
MAR,2016-02,-1.28,cells,869,consolidated_dataset
MCO,2016-02,0.2385,nearest_cell,0,consolidated_dataset
MDA,2016-02,-0.1955,cells,63,consolidated_dataset
MDG,2016-02,-0.2506,cells,816,consolidated_dataset
MDV,2016-02,0.8613,nearest_cell,0,consolidated_dataset
MEX,2016-02,-0.3066,cells,2790,consolidated_dataset
MHL,2016-02,0.3226,nearest_cell,0,consolidated_dataset
MKD,2016-02,-0.7829,cells,44,consolidated_dataset
MLI,2016-02,-0.1661,cells,1691,consolidated_dataset
MLT,2016-02,-2.3933,nearest_cell,0,consolidated_dataset
MMR,2016-02,0.8024,cells,912,consolidated_dataset
MNE,2016-02,-0.2408,cells,27,consolidated_dataset
MNG,2016-02,0.2967,cells,2945,consolidated_dataset
MNP,2016-02,-0.9977,nearest_cell,0,consolidated_dataset
MOZ,2016-02,-1.0257,cells,1079,consolidated_dataset
MRT,2016-02,-0.9009,cells,1445,consolidated_dataset
MSR,2016-02,-0.4865,nearest_cell,0,consolidated_dataset
MUS,2016-02,0.1162,cells,3,consolidated_dataset
MWI,2016-02,-0.5776,cells,161,consolidated_dataset
MYS,2016-02,-0.9381,cells,427,consolidated_dataset
NAM,2016-02,-0.327,cells,1145,consolidated_dataset
NCL,2016-02,-0.9722,cells,27,consolidated_dataset
NER,2016-02,-0.2772,cells,1614,consolidated_dataset
NFK,2016-02,-0.2439,nearest_cell,0,consolidated_dataset
NGA,2016-02,-0.9596,cells,1201,consolidated_dataset
NIC,2016-02,-0.7188,cells,164,consolidated_dataset
NIU,2016-02,-2.0476,nearest_cell,0,consolidated_dataset
NLD,2016-02,0.4558,cells,75,consolidated_dataset
NOR,2016-02,0.3681,cells,1350,consolidated_dataset
NPL,2016-02,-0.6444,cells,219,consolidated_dataset
NRU,2016-02,0.3226,nearest_cell,0,consolidated_dataset
NZL,2016-02,-0.1512,cells,470,consolidated_dataset
OMN,2016-02,-0.6102,cells,437,consolidated_dataset
PAK,2016-02,-1.13,cells,1306,consolidated_dataset
PAN,2016-02,-1.0154,cells,98,consolidated_dataset
PCN,2016-02,1.2753,nearest_cell,0,consolidated_dataset
PER,2016-02,-0.5032,cells,1701,consolidated_dataset
PHL,2016-02,-0.3034,cells,385,consolidated_dataset
PLW,2016-02,-1.4894,nearest_cell,0,consolidated_dataset
PNG,2016-02,-0.0585,cells,615,consolidated_dataset
POL,2016-02,0.3462,cells,657,consolidated_dataset
PRI,2016-02,-0.5787,cells,12,consolidated_dataset
PRK,2016-02,0.4341,cells,198,consolidated_dataset
PRT,2016-02,0.4337,cells,155,consolidated_dataset
PRY,2016-02,0.9969,cells,564,consolidated_dataset
PSE,2016-02,-0.1391,cells,12,consolidated_dataset
PYF,2016-02,0.6331,cells,3,consolidated_dataset
QAT,2016-02,-0.0788,cells,14,consolidated_dataset
RKS,2016-02,-0.398,cells,19,consolidated_dataset
ROU,2016-02,-0.3618,cells,431,consolidated_dataset
RUS,2016-02,0.5496,cells,46679,consolidated_dataset
